Name,Discount,New Price,Old Price,Positive Reviews,Number of Reviews
Niche - a genetics survival game,50,32.49,64.99,89.0,3179.0
Space Pirates And Zombies 2 Obsługa VR,50,35.99,71.99,79.0,2464.0
The Quest Deluxe Edition,56,29.95,68.67,87.0,361.0
CINERIS SOMNIA,70,16.19,53.99,84.0,108.0
Biker Garage: Mechanic Simulator,65,31.49,89.99,72.0,301.0
Desktop Kanojo,30,7.69,10.99,89.0,932.0
1979 Revolution: Black Friday,65,12.59,35.99,76.0,895.0
Press X to Not Die - Special Edition Content,50,1.79,3.59,78.0,78.0
Pinball FX3 - Marvel Pinball: Heavy Hitters,50,17.99,35.99,,
FortressCraft Evolved: Adventures Pack,70,16.19,53.99,,
Momodora: Reverie Under The Moonlight,60,14.39,35.99,94.0,7262.0
Lucy Got Problems EXTRA,44,20.64,36.98,91.0,498.0
Room to Grow,20,28.79,35.99,100.0,26.0
Aery - A Journey Beyond Time,20,28.79,35.99,100.0,34.0
Croixleur Sigma - Deluxe Edition,60,28.79,71.99,79.0,69.0
Yooka-Laylee,80,28.59,142.99,79.0,2047.0
